id,user,uid,version,changeset,timestamp
37130851,hjkwd,5048339,2,44864238,2017-01-03T07:47:04Z
37130852,hjkwd,5048339,3,44864238,2017-01-03T07:47:04Z
37130853,hjkwd,5048339,2,44864238,2017-01-03T07:47:04Z
37130854,hjkwd,5048339,2,44864238,2017-01-03T07:47:04Z
37130855,hjkwd,5048339,3,44864238,2017-01-03T07:47:04Z
37130857,hjkwd,5048339,10,52000711,2017-09-13T10:18:26Z
37130858,hjkwd,5048339,2,44849904,2017-01-02T16:58:56Z
37130859,pieleric,352940,2,31417669,2015-05-24T11:31:51Z
37130860,cxin,6848412,3,53210907,2017-10-24T15:03:20Z
37132222,ff5722,3450290,15,44342998,2016-12-12T11:19:59Z
37132231,巴山夜雨,4379011,14,47874931,2017-04-17T15:12:38Z
37132249,ShaunMay,2255641,7,38730378,2016-04-20T14:30:07Z
37132250,ShaunMay,2255641,7,38730378,2016-04-20T14:30:08Z
37132251,ShaunMay,2255641,6,38730378,2016-04-20T14:30:07Z
37132252,ShaunMay,2255641,6,38744417,2016-04-21T02:51:35Z
37132255,巴山夜雨,4379011,7,52539331,2017-10-01T15:17:52Z
37132256,巴山夜雨,4379011,5,46339016,2017-02-23T13:45:21Z
37132257,巴山夜雨,4379011,5,52416647,2017-09-27T15:14:07Z
37132258,cdipdlidan,6428329,8,50828025,2017-08-04T07:15:41Z
37132259,巴山夜雨,4379011,5,46339016,2017-02-23T13:45:21Z
37132261,巴山夜雨,4379011,14,52416647,2017-09-27T15:14:07Z
37132262,巴山夜雨,4379011,11,52539331,2017-10-01T15:17:53Z
37132263,ff5722,3450290,3,44342998,2016-12-12T11:19:59Z
37132264,ff5722,3450290,3,44342998,2016-12-12T11:19:59Z
37132265,巴山夜雨,4379011,3,46494095,2017-03-01T13:15:09Z
37132266,巴山夜雨,4379011,20,52416647,2017-09-27T15:14:03Z
37132267,巴山夜雨,4379011,9,52416647,2017-09-27T15:14:00Z
37132272,Jimmy_631707780,4419977,3,46677144,2017-03-08T10:54:14Z
37379880,巴山夜雨,4379011,5,47330452,2017-03-31T15:54:29Z
37379881,James Millar,5317567,3,46612438,2017-03-06T04:06:49Z
37379884,geodreieck4711,479256,11,25339056,2014-09-09T22:55:29Z
37379885,Charly Q,4467193,10,50190671,2017-07-11T02:39:35Z
37379886,robhedrick,154991,3,3011247,2009-11-01T21:01:26Z
37379888,greecemapper,23785,4,26833616,2014-11-16T23:28:00Z
37379921,自由分享,3264783,5,42448636,2016-09-26T15:36:16Z
37379922,jamesks,2500,6,44288659,2016-12-09T18:39:09Z
37379923,巴山夜雨,4379011,12,46304327,2017-02-22T11:47:35Z
37379924,自由分享,3264783,4,42448636,2016-09-26T15:36:16Z
37379925,巴山夜雨,4379011,3,47330452,2017-03-31T15:54:29Z
37379926,greecemapper,23785,3,26833616,2014-11-16T23:28:00Z
37379937,Ramzes,275821,3,7153773,2011-02-01T11:33:58Z
37379944,jamesks,2500,4,44288659,2016-12-09T18:39:10Z
37379954,greecemapper,23785,3,26833616,2014-11-16T23:27:59Z
37379963,istap,120612,2,1780284,2009-07-09T12:39:02Z
37379992,巴山夜雨,4379011,3,47330452,2017-03-31T15:54:29Z
37380650,巴山夜雨,4379011,6,48584962,2017-05-11T08:40:21Z
37380658,巴山夜雨,4379011,4,48584962,2017-05-11T08:40:21Z
37380660,巴山夜雨,4379011,11,46307239,2017-02-22T13:25:55Z
37380662,巴山夜雨,4379011,4,51276914,2017-08-20T13:12:08Z
37380663,巴山夜雨,4379011,4,51276914,2017-08-20T13:12:08Z
37380664,巴山夜雨,4379011,4,51276914,2017-08-20T13:12:08Z
37380667,巴山夜雨,4379011,5,51276914,2017-08-20T13:12:08Z
